,ej30,e,lq,NOM_SUN,date
1,120,52460,5.45,Tianguistenco,2015
2,69,40490,4.06,Celaya,2015
3,46,27742,3.95,Monclova-Frontera,2015
4,49,47381,2.47,Acapulco,2015
5,47,49074,2.28,Cancún,2015
6,23,24681,2.22,Coatzacoalcos,2015
7,65,86194,1.8,Tijuana,2015
8,54,73413,1.75,Querétaro,2015
9,693,1080420,1.53,Valle de México,2015
10,14,22534,1.48,Cuautla,2015
11,12,20617,1.39,Córdoba,2015
12,9,15668,1.37,Piedras Negras,2015
13,24,44206,1.29,Tampico,2015
14,5,10657,1.12,Tehuantepec,2015
15,52,120351,1.03,León,2015
16,18,45053,0.95,Oaxaca,2015
17,15,40009,0.89,Tepic,2015
18,36,105951,0.81,Mérida,2015
19,8,23560,0.81,Orizaba,2015
20,3,11706,0.61,Guaymas,2015
21,2,10008,0.48,Ocotlán,2015
22,57,288898,0.47,Guadalajara,2015
23,9,45718,0.47,Toluca,2015
24,18,104178,0.41,Morelia,2015
25,1,6053,0.39,San Francisco del Rincón,2015
26,17,104310,0.39,La Laguna,2015
27,12,75055,0.38,Aguascalientes,2015
28,9,56494,0.38,Cuernavaca,2015
29,4,25625,0.37,Puerto Vallarta,2015
30,14,90650,0.37,SLP,2015
31,4,27597,0.35,Puebla-Tlaxcala,2015
32,7,48949,0.34,Mexicali,2015
33,3,23223,0.31,Colima-Villa de A.,2015
34,4,36905,0.26,Zacatecas-Gpe.,2015
35,3,32843,0.22,Pachuca,2015
36,4,60616,0.16,Tlaxcala-Apizaco,2015
37,15,227518,0.16,Monterrey,2015
38,3,55450,0.13,Xalapa,2015
39,4,78248,0.12,Juárez,2015
40,3,61162,0.12,Chihuahua,2015
41,1,21344,0.11,Nuevo Laredo,2015
42,4,97531,0.1,Villahermosa,2015
43,2,52619,0.09,Saltillo,2015
44,90,54199,3.49,Tianguistenco,2014
45,35,23829,3.09,Orizaba,2014
46,60,49576,2.54,Acapulco,2014
47,1009,1131447,1.87,Valle de México,2014
48,36,40989,1.85,Celaya,2014
49,54,70788,1.6,Querétaro,2014
50,19,25907,1.54,Coatzacoalcos,2014
51,15,20576,1.53,Córdoba,2014
52,25,40023,1.31,Tepic,2014
53,10,16434,1.28,Piedras Negras,2014
54,27,47941,1.18,Cancún,2014
55,58,104433,1.17,Morelia,2014
56,12,29155,0.87,Monclova-Frontera,2014
57,19,48133,0.83,Oaxaca,2014
58,39,104445,0.78,La Laguna,2014
59,36,107790,0.7,Mérida,2014
60,17,56836,0.63,Tampico,2014
61,4,14692,0.57,Tehuantepec,2014
62,14,52146,0.56,Mexicali,2014
63,22,84019,0.55,Tijuana,2014
64,14,53786,0.55,Cuernavaca,2014
65,19,76487,0.52,Aguascalientes,2014
66,25,119588,0.44,León,2014
67,11,52958,0.44,Saltillo,2014
68,2,10113,0.42,Ocotlán,2014
69,13,70384,0.39,Juárez,2014
70,4,22105,0.38,Cuautla,2014
71,4,22506,0.37,Matamoros,2014
72,50,288297,0.36,Guadalajara,2014
73,4,23514,0.36,Colima-Villa de A.,2014
74,8,53388,0.31,Tlaxcala-Apizaco,2014
75,9,62573,0.3,Chihuahua,2014
76,6,42945,0.29,Toluca,2014
77,2,16143,0.26,La Piedad-Pénjamo,2014
78,10,88458,0.24,SLP,2014
79,3,26645,0.24,Puerto Vallarta,2014
80,2,22131,0.19,Nuevo Laredo,2014
81,2,23416,0.18,Veracruz,2014
82,1,12202,0.17,Tula,2014
83,19,234389,0.17,Monterrey,2014
84,1,13408,0.16,Minatitl n,2014
85,1,14334,0.15,Tulancingo,2014
86,1,24625,0.09,Poza Rica,2014
87,4,100701,0.08,Villahermosa,2014
88,1,36439,0.06,Reynosa-R¡o Bravo,2014
89,1,37581,0.06,Zacatecas-Gpe.,2014
90,26,19832,4.78,Orizaba,2013
91,29,35967,2.94,Tepic,2013
92,22,38800,2.07,Tianguistenco,2013
93,548,1005800,1.98,Valle de México,2013
94,11,22565,1.78,Monclova-Frontera,2013
95,20,41970,1.74,Acapulco,2013
96,6,13788,1.59,Piedras Negras,2013
